时间,开盘价,最高价,最低价,收盘价,成交量,atr5,atr10,atr14,macd,sma5,sma10,ema5,ema10,smma5,smma10,lwma5,lwma10,rsi5,rsi10,rsi14,sar,adx,cci,roc2,roc3,roc5,slowk,slowd,upper_band,middle_band,lower_band
2023-08-02 08:00:00,1965.64,1965.98,1941.26,1944.09,137650,24.22,19.97,19.13,4.29,1957.07,1961.24,1955.41,1956.7,1956.84,1953.44,1954.74,1958.0,38.05,45.42,47.28,1981.01,22.19,-85.34,34.61,1979.36,1957.07,35.13,34.61,1979.36,1957.07,1934.79
2023-08-03 08:00:00,1950.1,1954.84,1932.94,1934.56,137843,25.33,21.04,19.89,2.25,1949.58,1957.03,1948.46,1952.68,1952.38,1951.56,1947.24,1953.15,32.29,41.54,44.27,1978.62,29.42,-98.57,1935.55,1942.08,1941.15,21.13,30.4,1971.93,1949.58,1927.24
2023-08-04 08:00:00,1935.23,1938.88,1929.51,1934.2,143881,19.27,19.77,19.64,0.6,1947.48,1953.51,1943.71,1949.32,1948.75,1949.82,1942.11,1949.0,32.06,41.39,44.16,1974.97,40.5,-74.79,1943.36,1948.11,1947.53,6.86,21.04,1973.01,1947.48,1921.95
2023-08-07 08:00:00,1934.68,1946.95,1925.53,1942.65,131349,19.79,20.21,20.17,-0.03,1944.21,1951.59,1943.36,1948.11,1947.53,1949.1,1940.5,1947.03,43.78,46.39,47.58,1970.42,29.41,-12.21,17.05,-13.81,1900.75,16.85,14.95,1967.05,1944.21,1921.38
2023-08-08 08:00:00,1942.32,1946.72,1931.49,1936.21,92575,18.53,20.3,19.12,-1.03,1938.34,1949.77,1940.97,1945.94,1945.26,1947.81,1937.83,1944.23,37.6,43.26,45.3,1965.04,22.01,-35.34,0.0,1936.43,1938.06,24.96,16.22,1946.71,1938.34,1929.97
2023-08-09 08:00:00,1936.43,1938.06,1922.73,1924.69,116875,16.65,20.43,19.41,-2.73,1934.46,1945.77,1935.55,1942.08,1941.15,1945.5,1933.28,1939.67,28.58,38.16,41.48,1960.3,33.71,-162.31,0.0,1889.27,1898.78,24.92,22.24,1945.97,1934.46,1922.95
2023-08-10 08:00:00,1924.88,1932.34,1913.98,1914.44,104681,15.94,20.64,19.15,-4.84,1930.44,1940.01,1928.51,1937.05,1935.81,1942.4,1926.61,1933.97,22.56,34.18,38.37,1955.04,47.26,-122.61,38.37,1955.04,47.26,12.41,20.76,1950.15,1930.44,1910.73
2023-08-11 08:00:00,1915.32,1930.14,1912.1,1912.39,138994,17.68,18.47,19.22,-6.6,1926.08,1936.78,1923.14,1932.57,1931.12,1939.39,1920.59,1928.95,21.43,33.4,37.76,1948.47,57.29,-85.41,1916.45,1924.75,24.36,2.71,13.35,1949.77,1926.08,1902.38
2023-08-14 08:00:00,1912.5,1920.95,1910.77,1913.66,110410,15.43,17.61,18.92,-7.81,1920.28,1932.25,1919.98,1929.13,1927.63,1936.82,1916.45,1924.75,24.36,34.42,38.42,1941.92,65.33,-54.22,6.21,1938.46,1920.28,3.51,6.21,1938.46,1920.28,1902.09
2023-08-15 08:00:00,1913.77,1916.24,1902.69,1907.1,110271,15.09,16.81,18.89,-9.19,1914.46,1926.4,1915.69,1925.13,1923.52,1933.85,1912.06,1920.18,19.63,31.63,36.3,1935.69,74.11,-119.8,0.0,1913.77,1916.24,7.15,4.46,1925.9,1914.46,1903.01
2023-08-16 08:00:00,1907.09,1911.65,1896.35,1901.57,148964,15.09,15.87,18.82,-10.61,1909.83,1922.15,1910.98,1920.84,1919.13,1930.62,1907.76,1915.66,16.3,29.4,34.57,1928.43,80.98,-125.25,18.82,-10.61,1909.83,11.67,7.44,1919.55,1909.83,1900.11
2023-08-17 08:00:00,1901.75,1907.22,1891.85,1892.47,115164,14.49,15.22,17.08,-12.32,1905.44,1917.94,1904.81,1915.68,1913.8,1926.81,1901.98,1910.27,12.08,26.04,31.88,1920.73,86.05,-128.38,1899.52,1910.82,1908.83,9.35,9.39,1920.98,1905.44,1889.9
2023-08-18 08:00:00,1894.04,1903.49,1885.04,1888.95,132716,14.57,16.12,17.05,-13.81,1900.75,1913.41,1899.52,1910.82,1908.83,1923.02,1896.48,1905.0,10.74,24.82,30.88,1913.22,89.87,-97.94,1899.52,1910.82,1908.83,8.85,9.95,1918.98,1900.75,1882.52
2023-08-21 08:00:00,1889.48,1896.91,1886.76,1889.58,110303,14.56,15.0,16.24,-14.76,1895.93,1908.11,1896.21,1906.96,1904.98,1919.68,1892.76,1900.66,12.91,25.51,31.3,1907.22,92.41,-63.03,1896.21,1906.96,1904.98,8.61,8.93,1910.29,1895.93,1881.58
2023-08-22 08:00:00,1889.27,1898.78,1884.81,1894.66,124296,14.65,14.87,15.47,-14.94,1893.45,1903.95,1895.69,1904.72,1902.92,1917.17,1892.33,1898.22,30.03,31.2,34.71,1903.49,94.3,21.67,0.0,1959.69,1972.39,19.48,12.31,1902.55,1893.45,1884.34
2023-08-23 08:00:00,1894.5,1904.53,1889.11,1897.32,112253,14.67,14.88,15.01,-14.69,1892.6,1901.21,1896.24,1903.38,1901.8,1915.19,1893.62,1897.01,38.01,34.13,36.49,1884.81,64.1,115.99,20.51,1898.86,1892.6,33.44,20.51,1898.86,1892.6,1886.34
2023-08-24 08:00:00,1897.76,1920.38,1897.5,1915.33,130235,16.21,15.35,15.99,-12.89,1897.17,1901.3,1902.6,1905.55,1904.5,1915.2,1901.2,1899.58,68.45,50.09,47.0,1884.81,61.15,165.28,1955.41,1956.7,1956.84,62.34,38.42,1916.38,1897.17,1877.96
2023-08-25 08:00:00,1916.65,1923.4,1911.77,1916.85,123170,14.85,14.71,15.29,-11.22,1902.75,1901.75,1907.35,1907.61,1906.97,1915.37,1907.76,1902.41,70.0,51.2,47.79,1886.23,62.82,88.08,57.84,1925.12,1902.75,77.74,57.84,1925.12,1902.75,1880.38
2023-08-28 08:00:00,1916.76,1922.45,1903.78,1913.87,133164,16.55,15.56,15.53,-10.02,1907.61,1901.77,1909.52,1908.74,1908.35,1915.22,1911.47,1904.61,62.46,48.84,46.34,1888.46,43.11,44.94,19.64,0.6,1947.48,81.26,73.78,1926.74,1907.61,1888.47
2023-08-29 08:00:00,1915.66,1926.07,1912.77,1920.04,88244,16.42,15.53,15.39,-8.47,1912.68,1903.06,1913.03,1910.8,1910.69,1915.7,1915.61,1907.93,70.65,53.75,49.74,1890.56,38.45,79.83,0.0,1920.16,1938.2,80.63,79.87,1928.58,1912.68,1896.78
2023-08-30 08:00:00,1920.16,1938.2,1914.44,1937.56,126501,18.08,16.38,15.78,-5.76,1920.73,1906.66,1921.21,1915.66,1916.06,1917.89,1923.91,1914.2,83.45,64.51,57.9,1893.4,45.41,166.67,19.12,-1.03,1938.34,86.06,82.65,1938.05,1920.73,1903.41
2023-08-31 08:00:00,1937.0,1949.07,1934.95,1942.37,119671,16.3,16.25,15.5,-3.19,1926.14,1911.65,1928.26,1920.52,1921.33,1920.33,1931.12,1920.7,85.61,66.86,59.83,1897.88,56.7,97.83,0.0,1943.79,1947.91,89.13,85.27,1949.25,1926.14,1903.02
2023-09-01 08:00:00,1943.79,1947.91,1939.07,1939.87,102490,15.74,15.29,15.4,-1.34,1930.74,1916.75,1932.13,1924.04,1925.03,1922.29,1935.7,1925.83,78.93,64.39,58.34,1904.02,64.23,55.17,1914.44,0.0,15.94,87.4,87.53,1953.79,1930.74,1907.69
2023-09-04 08:00:00,1939.97,1953.02,1934.4,1939.86,139380,15.73,16.14,15.76,0.13,1935.94,1921.77,1934.71,1926.91,1928.0,1924.05,1938.74,1930.03,78.9,64.38,58.33,1909.43,71.2,41.09,1938.74,1930.03,78.9,77.79,84.77,1952.13,1935.94,1919.75
